Id;Date_creation;Date_modification;Date_lancement;Type_demarche;Nom;Description_rapide;SIREN collectivites_coporteuses;Collectivités porteuses;Population_couverte;Demarche_etat;Chef_de_projet;Contact;Elu_referent;Commentaire_statut;Date_reception_projet;Date_envoi_avis_dreal;Date_envoi_avis_cr;Oblige;Autres_démarches_hors_EC;Autres_demarches;PEC_Emission_GES_Annee_Compta;PEC_GES_1_1;PEC_GES_1_3;PEC_GES_1_6;PEC_GES_1_7;PEC_GES_2_1;PEC_GES_2_3;PEC_GES_2_6;PEC_GES_2_7;PEC_GES_3_1;PEC_GES_3_3;PEC_GES_3_6;PEC_GES_3_7;PEC_GES_4_1;PEC_GES_4_3;PEC_GES_4_6;PEC_GES_4_7;PEC_GES_5_1;PEC_GES_5_3;PEC_GES_5_6;PEC_GES_5_7;PEC_GES_6_1;PEC_GES_6_3;PEC_GES_6_6;PEC_GES_6_7;PEC_GES_7_1;PEC_GES_7_3;PEC_GES_7_6;PEC_GES_7_7;PEC_GES_8_1;PEC_GES_8_3;PEC_GES_8_6;PEC_GES_8_7;PEC_Consommation_Annee_Compta;PEC_CONSO_1_1;PEC_CONSO_1_3;PEC_CONSO_1_6;PEC_CONSO_1_7;PEC_CONSO_2_1;PEC_CONSO_2_3;PEC_CONSO_2_6;PEC_CONSO_2_7;PEC_CONSO_3_1;PEC_CONSO_3_3;PEC_CONSO_3_6;PEC_CONSO_3_7;PEC_CONSO_4_1;PEC_CONSO_4_3;PEC_CONSO_4_6;PEC_CONSO_4_7;PEC_CONSO_5_1;PEC_CONSO_5_3;PEC_CONSO_5_6;PEC_CONSO_5_7;PEC_CONSO_6_1;PEC_CONSO_6_3;PEC_CONSO_6_6;PEC_CONSO_6_7;PEC_CONSO_7_1;PEC_CONSO_7_3;PEC_CONSO_7_6;PEC_CONSO_7_7;PEC_CONSO_8_1;PEC_CONSO_8_3;PEC_CONSO_8_6;PEC_CONSO_8_7;PEC_GES_CONSO_commentaire;PEC_DomaineVulnerabilite_1;PEC_Vulnerabilite_1;PEC_Vulnerabilite_Objectif_fixe_1;PEC_DomaineVulnerabilite_2;PEC_Vulnerabilite_2;PEC_Vulnerabilite_Objectif_fixe_2;PEC_DomaineVulnerabilite_3;PEC_Vulnerabilite_3;PEC_Vulnerabilite_Objectif_fixe_3;PEC_DomaineVulnerabilite_4;PEC_Vulnerabilite_4;PEC_Vulnerabilite_Objectif_fixe_4;PEC_DomaineVulnerabilite_5;PEC_Vulnerabilite_5;PEC_Vulnerabilite_Objectif_fixe_5;PEC_DomaineVulnerabilite_6;PEC_Vulnerabilite_6;PEC_Vulnerabilite_Objectif_fixe_6;PEC_DomaineVulnerabilite_7;PEC_Vulnerabilite_7;PEC_Vulnerabilite_Objectif_fixe_7;PEC_DomaineVulnerabilite_8;PEC_Vulnerabilite_8;PEC_Vulnerabilite_Objectif_fixe_8;PEC_DomaineVulnerabilite_9;PEC_Vulnerabilite_9;PEC_Vulnerabilite_Objectif_fixe_9;PEC_DomaineVulnerabilite_10;PEC_Vulnerabilite_10;PEC_Vulnerabilite_Objectif_fixe_10;PEC_DomaineVulnerabilite_11;PEC_Vulnerabilite_11;PEC_Vulnerabilite_Objectif_fixe_11;PEC_DomaineVulnerabilite_12;PEC_Vulnerabilite_12;PEC_Vulnerabilite_Objectif_fixe_12;PEC_DomaineVulnerabilite_13;PEC_Vulnerabilite_13;PEC_Vulnerabilite_Objectif_fixe_13;PEC_DomaineVulnerabilite_14;PEC_Vulnerabilite_14;PEC_Vulnerabilite_Objectif_fixe_14;PEC_DomaineVulnerabilite_15;PEC_Vulnerabilite_15;PEC_Vulnerabilite_Objectif_fixe_15;PEC_DomaineVulnerabilite_16;PEC_Vulnerabilite_16;PEC_Vulnerabilite_Objectif_fixe_16;PEC_Vulnerabilite_commentaire;SEQ_1_Estimation_Sequestration_nette_CO2;SEQ_1_Estimation_Annee;SEQ_1_Possibilite_Developpement_nette_CO2;SEQ_1_Possibilite_Developpement_annee;SEQ_2_Estimation_Sequestration_nette_CO2;SEQ_2_Estimation_Annee;SEQ_2_Possibilite_Developpement_nette_CO2;SEQ_2_Possibilite_Developpement_annee;SEQ_3_Estimation_Sequestration_nette_CO2;SEQ_3_Estimation_Annee;SEQ_3_Possibilite_Developpement_nette_CO2;SEQ_3_Possibilite_Developpement_annee;SEQ_commentaire;Vegetation objectif;Vegetation année de reference;Sols objectif;Sols année de reference;Bâtiments objectif;Bâtiments année de reference;Autres cibles objectif;Autres cibles année de reference;Production biosourcée 1;Objectif 1;Année de reference 1;Production biosourcée 2;Objectif 2;Année de reference 2;Production biosourcée 3;Objectif 3;Année de reference 3;Production biosourcée 4;Objectif 4;Année de reference 4;Production biosourcée 5;Objectif 5;Année de reference 5
23-54;PEC_GES_<Code Secteur>_<CodePeriode>;numérique;"Emission GES en TeqCO2, pour chaque secteur (8 secteurs)
""1"",""Résidentiel""
""2"",""Tertiaire""
""3"",""Transport routier""
""4"",""Autres transports""
""5"",""Agriculture""
""6"",""Déchets""
""7"",""Industrie hors branche énergie""
""8"",""Industrie  branche énergie""
 et chaque période (4 périodes)
""1"", ""Diagnostic""
""3"", ""2026""
""6"", ""2030""
""7"", ""2050""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;… 31 autres colonnes ….;;Une colonne pour chaque secteur et chaque période --> 32 colonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Profil Energie climat - Consommation énergétique (1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;PEC_Consommation_Annee_Compta;numérique;Année de comptabilisation de la consommation  énergétique si diagnostic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56-87;PEC_CONSO_<Code Secteur>_<CodePeriode>;numérique;"Consommation énergie en GWh, pour chaque secteur (8 secteurs)
""1"",""Résidentiel""
""2"",""Tertiaire""
""3"",""Transport routier""
""4"",""Autres transports""
""5"",""Agriculture""
""6"",""Déchets""
""7"",""Industrie hors branche énergie""
""8"",""Industrie  branche énergie""
 et chaque période (4 périodes)
""1"", ""Diagnostic""
""3"", ""2026""
""6"", ""2030""
""7"", ""2050""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;… 31 autres colonnes ….;;Une colonne pour chaque secteur et chaque période --> 32 colonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;PEC_GES_CONSO_commentaire;texte;Commentaires sur les données d'émission de GES et les consommations énergétiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Profil Energie climat -Vulnérabilité (4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;PEC_DomaineVulnerabilite_<Numéro Ligne Domaine Vulnérabilité>;texte;"Vulnérabilités sur le territoire.
3 colonnes pour chaque type de vulnérabilité (numéro de ligne) :
- domaine de vulnérabilité
- description de la vulnérabilité
- description des objectifs fixés
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;PEC_Vulnerabilite_<Numéro Ligne Domaine Vulnérabilité>;texte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;PEC_Vulnerabilite_Objectif_fixe_<Numéro Ligne Domaine Vulnérabilité>;texte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92 ? 136;… 45 autres colonnes …;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;PEC_Vulnerabilite_commentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Séquestration (2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;SEQ_<Code Sol et forêt>_Estimation_Sequestration_nette_CO2;numérique;"Estimation de la séquestration nette de CO2 sur le territoire pour chaque type de sol
Ci-dessous la liste des codes ""Sol et Forêt""
""1"",""Forêt""
""2"",""Terre cultivées et prairies""
""3"",""Autres sols""
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;SEQ_<Code Sol et forêt>_Estimation_Annee;numérique;Année de l'estimation pour chaque type de sol ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;SEQ_<Code Sol et forêt>_Possibilite_Developpement_nette_CO2;numérique;"Estimation du potentiel de développement de la séquestration nette de CO2 pour chaque type de sol
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;SEQ_<Code Sol et forêt>_Possibilite_Developpement_annee;numérique;Année à laquelle le potentiel de développement de la séquestration pourrait être atteint pour chaque type de sol ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142 ? 149;… 8 autres colonnes …;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;SEQ_commentaire;texte;Commentaire sur le tableau des données de séquestration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Objectifs de renforcements de la séquestration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;Vegetation objectif;texte;Objectifs de renforcement du stockage de carbone sur la végétation, dans les sols, dans les bâtiments et sur d’autres cibles ainsi que les années de références respectives.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;Vegetation année de reference;numérique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;Sols objectif;texte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;Sols année de reference;numérique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;Bâtiments objectif;texte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
